RowID,EntryID,Gny,Placement,Finish,Start,Weight,Successful,Experienced,SameDriver,WonLast,WonLastThree
﻿Bursa_26022020_1_GREYPILOT,﻿Bursa_26022020_1,"35,25",6,0,0,1,0,0,0,0,0
﻿Bursa_26022020_1_ÇIMAÇIMA,﻿Bursa_26022020_1,"7,20",7,0,1,1,0,1,0,0,0
﻿Bursa_26022020_1_QUEENDÖNENCE,﻿Bursa_26022020_1,"69,45",8,0,0,1,0,0,0,0,0
﻿Bursa_26022020_1_INTERNATIONALMAN,﻿Bursa_26022020_1,"12,95",9,0,1,1,0,1,0,0,0
﻿Bursa_26022020_2_SEVENGIRL,﻿Bursa_26022020_2,"3,25",1,1,0,1,0,1,0,0,0
﻿Bursa_26022020_2_WALTZGOESON,﻿Bursa_26022020_2,"6,30",2,1,1,1,1,1,0,0,0
﻿Bursa_26022020_2_MISSADANA,﻿Bursa_26022020_2,"3,50",3,1,1,1,0,1,0,0,0
﻿Bursa_26022020_2_UMAY,﻿Bursa_26022020_2,"5,65",4,0,1,1,0,1,0,0,0
﻿Bursa_26022020_2_UGLYACTION,﻿Bursa_26022020_2,"11,00",5,0,0,1,0,1,0,0,0
﻿Bursa_26022020_2_SETMELOOSE,﻿Bursa_26022020_2,"17,20",6,0,0,1,0,1,0,0,0
﻿Bursa_26022020_2_GOLDCOUST,﻿Bursa_26022020_2,"4,75",7,0,0,1,1,1,0,0,0
﻿Bursa_26022020_2_DAĞLARINDANSI,﻿Bursa_26022020_2,"19,30",8,0,0,1,0,1,0,0,0
﻿Bursa_26022020_3_ÇELİKMAVİ,﻿Bursa_26022020_3,"4,35",1,1,1,1,0,0,0,0,0
﻿Bursa_26022020_3_BİRUMUT,﻿Bursa_26022020_3,"16,30",2,1,0,1,0,1,0,0,0
﻿Bursa_26022020_3_GUBAZ,﻿Bursa_26022020_3,"2,85",3,1,0,1,1,1,0,0,0
﻿Bursa_26022020_3_CİHANTAYIM,﻿Bursa_26022020_3,"4,85",4,0,0,1,1,1,0,0,0
﻿Bursa_26022020_3_OVABEYİ,﻿Bursa_26022020_3,"14,00",5,0,1,1,0,1,0,0,0
﻿Bursa_26022020_3_BÖLÜKBEY,﻿Bursa_26022020_3,"4,45",6,0,1,1,1,1,0,0,0
﻿Bursa_26022020_3_TUVANHAN,﻿Bursa_26022020_3,"5,90",7,0,0,1,0,0,0,0,0
﻿Bursa_26022020_3_İLKHAYRİ,﻿Bursa_26022020_3,"4,45",8,0,0,1,0,0,0,0,0
﻿Bursa_26022020_3_BAĞDATGÜZELİ,﻿Bursa_26022020_3,"33,85",9,0,0,1,0,1,0,0,0
﻿Bursa_26022020_4_DONTHESITATE,﻿Bursa_26022020_4,"2,75",1,1,0,1,1,1,0,0,0
﻿Bursa_26022020_4_ANGELETTA,﻿Bursa_26022020_4,"4,95",2,1,1,1,0,1,0,0,0
﻿Bursa_26022020_4_QUEENBERYL,﻿Bursa_26022020_4,"1,60",3,1,0,1,0,1,0,0,0
﻿Bursa_26022020_4_ERENDIRA,﻿Bursa_26022020_4,"15,20",4,0,1,1,0,1,0,0,0
﻿Bursa_26022020_4_ROWDY,﻿Bursa_26022020_4,"18,10",5,0,0,1,0,1,0,0,0
﻿Bursa_26022020_4_HEARTSQUEEN,﻿Bursa_26022020_4,"37,35",6,0,1,1,0,1,0,0,0
﻿Bursa_26022020_5_AKALP,﻿Bursa_26022020_5,"9,25",1,1,0,1,0,1,0,0,0
﻿Bursa_26022020_5_ARSLANTURBO,﻿Bursa_26022020_5,"3,65",2,1,1,1,1,1,0,0,0
﻿Bursa_26022020_5_BERENGÜL,﻿Bursa_26022020_5,"3,00",3,1,1,1,1,1,0,0,0
﻿Bursa_26022020_5_MARUFTAY,﻿Bursa_26022020_5,"3,80",4,0,0,1,1,1,0,0,0
﻿Bursa_26022020_5_LOKUMOĞLU,﻿Bursa_26022020_5,"5,80",5,0,0,1,0,1,0,0,0
﻿Bursa_26022020_5_GÜLENYÜZ,﻿Bursa_26022020_5,"6,60",6,0,0,1,0,1,0,0,0
﻿Bursa_26022020_5_PARLAKMÜCEVHER,﻿Bursa_26022020_5,"34,25",7,0,0,1,0,1,0,0,0
﻿Bursa_26022020_5_BALAMİREFE,﻿Bursa_26022020_5,"69,00",8,0,1,1,0,1,0,0,0
﻿Bursa_26022020_6_KARAÇETİN,﻿Bursa_26022020_6,"1,90",1,1,0,1,1,1,0,0,0
﻿Bursa_26022020_6_ULUAT,﻿Bursa_26022020_6,"6,10",2,1,0,1,0,1,0,0,0
﻿Bursa_26022020_6_HOŞTAY,﻿Bursa_26022020_6,"5,35",3,1,0,1,0,1,0,0,0
﻿Bursa_26022020_6_YENER,﻿Bursa_26022020_6,"6,45",4,0,0,1,0,1,0,0,0
﻿Bursa_26022020_6_ÇAVUŞBABAM,﻿Bursa_26022020_6,"9,20",5,0,1,1,0,1,0,0,0
﻿Bursa_26022020_6_ÇILGINMATRA,﻿Bursa_26022020_6,"22,45",6,0,1,1,0,1,0,0,0
﻿Bursa_26022020_6_GÜNERABLA,﻿Bursa_26022020_6,"15,15",7,0,1,1,0,1,0,0,0
﻿Bursa_26022020_6_KORKUSUZEFE,﻿Bursa_26022020_6,"28,30",8,0,0,1,0,1,0,0,0
﻿Bursa_26022020_6_EMİRALİ,﻿Bursa_26022020_6,"27,70",9,0,0,1,0,1,0,0,0
﻿Bursa_26022020_6_ZINAR,﻿Bursa_26022020_6,"59,90",10,0,0,1,0,1,0,0,0
﻿Gulfstream Park _26022020_1_HAPPYTIME,﻿Gulfstream Park _26022020_1,"6,75",4,0,1,1,0,0,0,0,0
﻿Gulfstream Park _26022020_1_ELITEPASSENGER,﻿Gulfstream Park _26022020_1,"57,10",13,0,0,1,0,0,0,0,0
﻿Gulfstream Park _26022020_2_IRONSIDE,﻿Gulfstream Park _26022020_2,"33,55",7,0,1,1,0,0,0,0,0
﻿Gulfstream Park _26022020_2_SILENTATTACK,﻿Gulfstream Park _26022020_2,"47,65",9,0,0,1,0,1,0,0,0
﻿Gulfstream Park _26022020_3_QUEENDÖNENCE,﻿Gulfstream Park _26022020_3,"3,05",4,0,0,1,0,0,0,0,0
﻿Gulfstream Park _26022020_3_LILIMARLEEN,﻿Gulfstream Park _26022020_3,"2,20",6,0,1,1,0,1,0,0,0
﻿Gulfstream Park _26022020_4_BEAUTIFULLLUCY,﻿Gulfstream Park _26022020_4,"2,90",1,1,1,1,0,1,0,0,0
﻿Gulfstream Park _26022020_4_NEWMARKET,﻿Gulfstream Park _26022020_4,"15,40",3,1,0,1,0,1,0,0,0
﻿Gulfstream Park _26022020_5_NOBLENESS,﻿Gulfstream Park _26022020_5,"48,60",5,0,0,1,0,0,0,0,0
﻿Gulfstream Park _26022020_5_SEAVALLEY,﻿Gulfstream Park _26022020_5,"43,10",7,0,0,1,0,0,0,0,0
﻿Gulfstream Park _26022020_6_GOLDENDIANA,﻿Gulfstream Park _26022020_6,"9,25",1,1,0,1,0,1,0,0,0
﻿Gulfstream Park _26022020_7_DIAMONDFLAME,﻿Gulfstream Park _26022020_7,"8,65",5,0,0,1,0,1,0,0,0
﻿Scottsville Güney Afrika_26022020_2_STARIGRAD,﻿Scottsville Güney Afrika_26022020_2,"12,40",7,0,1,1,1,1,0,0,0
﻿Scottsville Güney Afrika_26022020_2_SWEETGIRLMİRA,﻿Scottsville Güney Afrika_26022020_2,"44,10",10,0,0,1,0,0,0,0,0
﻿Scottsville Güney Afrika_26022020_2_THEBLACKSTALLION,﻿Scottsville Güney Afrika_26022020_2,"18,65",14,0,1,1,0,1,0,0,0
﻿Scottsville Güney Afrika_26022020_3_GIRLGONEBAD,﻿Scottsville Güney Afrika_26022020_3,"6,60",8,0,0,1,1,0,0,0,0
﻿Scottsville Güney Afrika_26022020_3_BOLDMOON,﻿Scottsville Güney Afrika_26022020_3,"6,60",12,0,0,1,0,0,0,0,0
﻿Scottsville Güney Afrika_26022020_3_TOFFEE,﻿Scottsville Güney Afrika_26022020_3,"31,90",15,0,0,1,0,0,0,0,0
﻿Scottsville Güney Afrika_26022020_4_KEEPONDREAMING,﻿Scottsville Güney Afrika_26022020_4,"2,20",1,1,0,1,0,0,0,0,0
﻿Scottsville Güney Afrika_26022020_4_TOFFEE,﻿Scottsville Güney Afrika_26022020_4,"9,50",2,1,0,1,0,0,0,0,0
﻿Scottsville Güney Afrika_26022020_5_JETFAYİK,﻿Scottsville Güney Afrika_26022020_5,"2,35",1,1,0,1,0,0,0,0,0
"﻿Scottsville Güney Afrika_26022020_5_DOUBLEDEUCE
(IRE)",﻿Scottsville Güney Afrika_26022020_5,"4,10",3,1,0,1,0,0,0,0,0
﻿Scottsville Güney Afrika_26022020_5_NOBLENESS,﻿Scottsville Güney Afrika_26022020_5,"11,00",4,0,0,1,0,0,0,0,0
﻿Scottsville Güney Afrika_26022020_5_STARDANCER,﻿Scottsville Güney Afrika_26022020_5,"31,10",6,0,0,1,0,1,0,0,0
﻿Scottsville Güney Afrika_26022020_6_JUSTEAGLE,﻿Scottsville Güney Afrika_26022020_6,"9,10",6,0,0,1,0,1,0,0,0
﻿Scottsville Güney Afrika_26022020_7_FIRSTATACK,﻿Scottsville Güney Afrika_26022020_7,"3,55",1,1,0,1,1,1,0,0,0
﻿Scottsville Güney Afrika_26022020_7_COYOTEFLY,﻿Scottsville Güney Afrika_26022020_7,"5,95",2,1,0,1,0,1,0,0,0
﻿Scottsville Güney Afrika_26022020_7_BELLAPERFECT,﻿Scottsville Güney Afrika_26022020_7,"7,50",3,1,1,1,0,0,0,0,0
﻿Scottsville Güney Afrika_26022020_7_MYSTICGREEN,﻿Scottsville Güney Afrika_26022020_7,"35,90",4,0,0,1,0,1,0,0,0
﻿Scottsville Güney Afrika_26022020_7_MISSADANA,﻿Scottsville Güney Afrika_26022020_7,"3,75",10,0,0,1,0,1,0,0,0
﻿İzmir_27022020_1_HASKARACA,﻿İzmir_27022020_1,"1,45",1,1,1,1,1,1,0,0,0
﻿İzmir_27022020_1_ŞARLO,﻿İzmir_27022020_1,"2,40",2,1,1,1,1,1,0,0,0
﻿İzmir_27022020_1_ÇİFTETELLİ,﻿İzmir_27022020_1,"6,75",3,1,1,1,1,1,0,0,0
﻿İzmir_27022020_1_GÖKTEKİNOĞLU,﻿İzmir_27022020_1,"16,40",4,0,0,1,1,1,0,0,0
﻿İzmir_27022020_1_PİSTKRALI,﻿İzmir_27022020_1,"41,60",5,0,0,1,0,1,0,0,0
﻿İzmir_27022020_2_MAGICAPPLE,﻿İzmir_27022020_2,"4,70",1,1,1,1,1,1,0,0,0
﻿İzmir_27022020_2_MUTLUÇOCUK,﻿İzmir_27022020_2,"14,15",2,1,0,1,0,1,0,0,0
﻿İzmir_27022020_2_BIGGY,﻿İzmir_27022020_2,"3,35",3,1,0,1,0,1,0,0,0
﻿İzmir_27022020_2_WELLBORN,﻿İzmir_27022020_2,"7,70",5,0,0,1,0,1,0,0,0
﻿İzmir_27022020_2_ROCKYBOY,﻿İzmir_27022020_2,"13,45",6,0,0,1,0,1,0,0,0
﻿İzmir_27022020_2_ALAYBEY,﻿İzmir_27022020_2,"9,55",7,0,1,1,0,1,0,0,0
﻿İzmir_27022020_2_WONDERKID,﻿İzmir_27022020_2,"7,00",8,0,1,1,0,1,0,0,0
﻿İzmir_27022020_3_COLDGRAY,﻿İzmir_27022020_3,"2,50",1,1,1,1,0,0,0,0,0
﻿İzmir_27022020_3_PATLICAN,﻿İzmir_27022020_3,"2,85",2,1,0,1,1,0,0,0,0
﻿İzmir_27022020_3_SPEEDDEMON,﻿İzmir_27022020_3,"35,05",3,1,0,1,0,0,0,0,0
﻿İzmir_27022020_3_STORMBREAKER,﻿İzmir_27022020_3,"8,05",4,0,0,1,0,0,0,0,0
﻿İzmir_27022020_3_NAMEOFTHEROSE,﻿İzmir_27022020_3,"7,80",5,0,0,1,0,1,0,0,0
﻿İzmir_27022020_3_OPPORTUNIST,﻿İzmir_27022020_3,"4,10",6,0,1,1,0,1,0,0,0
﻿İzmir_27022020_3_THEBESTBUSE,﻿İzmir_27022020_3,"31,10",7,0,1,1,1,1,0,0,0
﻿İzmir_27022020_3_CAHİDESULTAN,﻿İzmir_27022020_3,"28,95",8,0,0,1,0,1,0,0,0
﻿İzmir_27022020_4_BİCEROĞLU,﻿İzmir_27022020_4,"2,65",1,1,1,1,0,1,0,0,0
﻿İzmir_27022020_4_AŞIKBEY,﻿İzmir_27022020_4,"9,00",2,1,1,1,0,1,0,0,0
﻿İzmir_27022020_4_FRENKLİATEŞİ,﻿İzmir_27022020_4,"3,50",3,1,0,1,1,1,0,0,0
﻿İzmir_27022020_4_ASİHANIM,﻿İzmir_27022020_4,"9,25",4,0,0,1,0,0,0,0,0
﻿İzmir_27022020_4_ÖZÇOCUK,﻿İzmir_27022020_4,"19,85",5,0,0,1,0,1,0,0,0
﻿İzmir_27022020_4_URLADESTANI,﻿İzmir_27022020_4,"15,30",6,0,1,1,0,1,0,0,0
﻿İzmir_27022020_4_GÜNIŞIĞI,﻿İzmir_27022020_4,"5,05",7,0,0,1,0,1,0,0,0
﻿İzmir_27022020_4_DAİMON,﻿İzmir_27022020_4,"16,15",8,0,0,1,0,1,0,0,0
﻿İzmir_27022020_4_RUAT,﻿İzmir_27022020_4,"11,70",9,0,0,1,0,1,0,0,0
﻿İzmir_27022020_5_CAN,﻿İzmir_27022020_5,"5,75",1,1,0,1,0,1,0,0,0
﻿İzmir_27022020_5_ELAZRA,﻿İzmir_27022020_5,"1,50",2,1,0,1,0,1,0,0,0
﻿İzmir_27022020_5_PERFECTEMERALD,﻿İzmir_27022020_5,"12,65",3,1,1,1,0,1,0,0,0
﻿İzmir_27022020_5_KINGABJAR,﻿İzmir_27022020_5,"4,85",4,0,1,1,0,1,0,0,0
﻿İzmir_27022020_5_MYATALANTE,﻿İzmir_27022020_5,"8,55",5,0,1,1,0,0,0,0,0
﻿İzmir_27022020_5_DOMBRA,﻿İzmir_27022020_5,"9,90",6,0,0,1,0,1,0,0,0
﻿İzmir_27022020_6_MYAEROBICLADY,﻿İzmir_27022020_6,"1,20",1,1,0,1,1,0,0,0,0
﻿İzmir_27022020_6_WINFORELİF,﻿İzmir_27022020_6,"25,90",2,1,0,1,1,0,0,0,0
﻿İzmir_27022020_6_MOYEDERYAM,﻿İzmir_27022020_6,"53,45",3,1,1,1,0,0,0,0,0
﻿İzmir_27022020_6_SONOFYAVUZ,﻿İzmir_27022020_6,"3,45",4,0,1,1,0,1,0,0,0
﻿İzmir_27022020_6_KÖYCEYİZGÜZELİ,﻿İzmir_27022020_6,"38,70",5,0,1,1,0,0,0,0,0
﻿İzmir_27022020_6_MÜNFERİT,﻿İzmir_27022020_6,"40,65",6,0,0,1,0,0,0,0,0
﻿İzmir_27022020_6_SPEEDDEMON,﻿İzmir_27022020_6,"50,80",7,0,0,1,0,0,1,0,0
﻿İzmir_27022020_6_TRIESTEDREAM,﻿İzmir_27022020_6,"9,30",8,0,0,1,0,0,0,0,0
﻿İzmir_27022020_7_ATEŞADASI,﻿İzmir_27022020_7,"8,30",1,1,0,1,0,1,0,0,0
﻿İzmir_27022020_7_İRADELİYILDIZ,﻿İzmir_27022020_7,"3,10",2,1,0,1,0,1,0,0,0
﻿İzmir_27022020_7_KAYALASKA,﻿İzmir_27022020_7,"10,45",3,1,0,1,0,1,0,0,0
﻿İzmir_27022020_7_KUNDAKTEPE,﻿İzmir_27022020_7,"4,70",4,0,0,1,0,0,0,0,0
﻿İzmir_27022020_7_ALTINTUNÇ,﻿İzmir_27022020_7,"4,70",5,0,1,1,0,1,0,0,0
﻿İzmir_27022020_7_BENİM,﻿İzmir_27022020_7,"24,35",6,0,0,1,0,1,0,0,0
﻿İzmir_27022020_7_ALSİNEM,﻿İzmir_27022020_7,"8,45",7,0,0,1,0,1,0,0,0
﻿İzmir_27022020_7_ARUZTAY,﻿İzmir_27022020_7,"9,15",8,0,1,1,0,1,0,0,0
﻿İzmir_27022020_7_ÖZDEMİRAĞA,﻿İzmir_27022020_7,"26,80",9,0,1,1,0,1,0,0,0
﻿İzmir_27022020_7_KÜHEYLANIM,﻿İzmir_27022020_7,"108,05",10,0,0,1,0,1,0,0,0
﻿İzmir_27022020_7_GÜÇLÜKAYA,﻿İzmir_27022020_7,"3,65",11,0,0,1,0,1,0,0,0
﻿Şanlıurfa_27022020_1_SARIKAMIŞ,﻿Şanlıurfa_27022020_1,"4,40",1,1,0,1,1,1,0,0,0
